iter	Passed	Remaining
423	2103	2857
424	2107	2851
425	2112	2846
426	2117	2841
427	2122	2836
428	2126	2830
429	2131	2826
430	2136	2820
431	2141	2815
432	2146	2810
433	2151	2805
434	2156	2800
435	2160	2795
436	2165	2790
437	2170	2784
438	2175	2779
439	2179	2774
440	2185	2769
441	2195	2771
442	2201	2767
443	2206	2762
444	2213	2760
445	2218	2755
446	2223	2751
447	2229	2747
448	2234	2742
449	2240	2738
450	2245	2733
451	2250	2728
452	2254	2722
453	2259	2717
454	2264	2712
455	2269	2707
456	2274	2702
457	2280	2698
458	2286	2694
459	2290	2689
460	2296	2684
461	2300	2679
462	2305	2674
463	2310	2669
464	2315	2664
465	2320	2658
466	2325	2653
467	2329	2648
468	2334	2643
469	2339	2638
470	2345	2633
471	2349	2628
472	2354	2623
473	2359	2618
474	2364	2613
475	2369	2608
476	2373	2602
477	2378	2597
478	2383	2592
479	2388	2587
480	2393	2582
481	2397	2577
482	2402	2572
483	2408	2567
484	2412	2562
485	2417	2556
486	2423	2552
487	2428	2547
488	2432	2542
489	2437	2537
490	2443	2533
491	2448	2528
492	2453	2522
493	2458	2517
494	2462	2512
495	2467	2507
496	2472	2502
497	2478	2498
498	2483	2493
499	2489	2489
500	2493	2484
501	2499	2479
502	2504	2474
503	2508	2468
504	2513	2463
505	2518	2458
506	2523	2453
507	2528	2448
508	2533	2443
509	2538	2438
510	2542	2433
511	2547	2428
512	2552	2423
513	2557	2417
514	2561	2412
515	2566	2407
516	2571	2402
517	2576	2397
518	2581	2392
519	2586	2387
520	2591	2382
521	2595	2377
522	2600	2371
523	2605	2366
524	2609	2361
525	2614	2355
526	2618	2350
527	2623	2345
528	2628	2340
529	2633	2335
530	2639	2331
531	2644	2326
532	2650	2321
533	2654	2316
534	2659	2311
535	2664	2306
536	2669	2301
537	2674	2296
538	2679	2291
539	2684	2286
540	2689	2281
541	2694	2277
542	2700	2272
543	2705	2268
544	2711	2263
545	2717	2259
546	2722	2254
547	2728	2250
548	2734	2246
549	2739	2241
550	2744	2236
551	2748	2231
552	2753	2225
553	2758	2220
554	2763	2215
555	2767	2210
556	2773	2205
557	2778	2200
558	2783	2195
559	2787	2190
560	2793	2185
561	2798	2180
562	2803	2175
563	2808	2170
564	2813	2165
565	2817	2160
566	2822	2155
567	2827	2150
568	2831	2144
569	2836	2139
570	2841	2134
571	2846	2129
572	2851	2124
573	2855	2119
574	2861	2114
575	2865	2109
576	2870	2104
577	2875	2099
578	2879	2094
579	2884	2089
580	2889	2083
581	2894	2078
582	2899	2074
583	2904	2068
584	2909	2063
585	2914	2058
586	2919	2054
587	2925	2049
588	2930	2044
589	2935	2039
590	2939	2034
591	2944	2029
592	2949	2024
593	2954	2019
594	2959	2014
595	2964	2009
596	2969	2004
597	2974	1999
598	2979	1994
599	2984	1989
600	2989	1984
601	2994	1979
602	2999	1974
603	3004	1969
604	3009	1964
605	3013	1959
606	3019	1954
607	3024	1949
608	3028	1944
609	3033	1939
610	3038	1934
611	3042	1929
612	3047	1924
613	3052	1919
614	3057	1913
615	3062	1908
616	3066	1903
617	3072	1898
618	3076	1893
619	3081	1888
620	3086	1883
621	3090	1878
622	3095	1873
623	3100	1868
624	3105	1863
625	3110	1858
626	3114	1853
627	3119	1847
628	3124	1842
629	3128	1837
630	3133	1832
631	3138	1827
632	3143	1822
633	3148	1817
634	3152	1812
635	3157	1807
636	3162	1802
637	3167	1797
638	3172	1792
639	3177	1787
640	3181	1782
641	3188	1777
642	3193	1773
643	3198	1768
644	3204	1763
645	3210	1759
646	3216	1754
647	3221	1749
648	3227	1745
649	3233	1741
650	3238	1736
651	3243	1731
652	3248	1726
653	3253	1721
654	3258	1716
655	3263	1711
656	3268	1706
657	3274	1701
658	3278	1696
659	3283	1691
660	3288	1686
661	3294	1681
662	3298	1676
663	3303	1671
664	3308	1666
665	3312	1661
666	3317	1656
667	3322	1651
668	3327	1646
669	3332	1641
670	3336	1636
671	3341	1631
672	3346	1626
673	3351	1620
674	3355	1615
675	3360	1610
676	3366	1606
677	3371	1601
678	3377	1596
679	3382	1591
680	3387	1586
681	3392	1581
682	3397	1576
683	3402	1571
684	3406	1566
685	3411	1561
686	3416	1556
687	3420	1551
688	3425	1546
689	3430	1541
690	3435	1536
691	3440	1531
692	3445	1526
693	3450	1521
694	3455	1516
695	3459	1511
696	3465	1506
697	3470	1501
698	3475	1496
699	3479	1491
700	3484	1486
701	3489	1481
702	3496	1477
703	3501	1472
704	3506	1467
705	3511	1462
706	3516	1457
707	3521	1452
708	3525	1447
709	3530	1442
710	3535	1437
711	3540	1432
712	3545	1427
713	3549	1421
714	3554	1416
715	3559	1411
716	3565	1407
717	3570	1402
718	3575	1397
719	3580	1392
720	3584	1387
721	3589	1382
722	3594	1377
723	3599	1372
724	3603	1367
725	3608	1361
726	3613	1356
727	3618	1351
728	3622	1346
729	3627	1341
730	3632	1336
731	3637	1331
732	3642	1326
733	3646	1321
734	3651	1316
735	3656	1311
736	3660	1306
737	3665	1301
738	3670	1296
739	3675	1291
740	3681	1286
741	3686	1281
742	3692	1277
743	3697	1272
744	3705	1268
745	3714	1264
746	3721	1260
747	3729	1256
748	3736	1252
749	3742	1247
750	3747	1242
751	3752	1237
752	3756	1232
753	3761	1227
754	3767	1222
755	3771	1217
756	3776	1212
757	3781	1207
758	3786	1202
759	3791	1197
760	3796	1192
761	3801	1187
762	3806	1182
763	3811	1177
764	3816	1172
765	3821	1167
766	3825	1162
767	3830	1157
